"","NAME","gender","prc_under18E","prc_under18M","prc_over65E","prc_over65M"
"82","Arlington","Male",0.151515151515152,0.090074068881574,0.303030303030303,0.132598717949805
"83","Armstrong","Female",0.103960396039604,0.0521724756547371,0.448019801980198,0.146983779940078
"84","Armstrong","Male",0.262650602409639,0.0974050944342815,0.363855421686747,0.130937079819363
"85","Arnolds Park","Female",0.0707070707070707,0.0462269263290131,0.305050505050505,0.0910906173285706
"86","Arnolds Park","Male",0.0351239669421488,0.0334569814405522,0.357438016528926,0.114012299226746
"87","Arthur","Female",0.16969696969697,0.133756257416707,0.2,0.113868449867006
"88","Arthur","Male",0.157142857142857,0.104138839820615,0.142857142857143,0.142320420322652
"89","Asbury","Female",0.354985384865216,0.076168853034376,0.146151347840208,0.0461469960357323
"90","Asbury","Male",0.340574374079529,0.0817254641831476,0.150220913107511,0.0450820193230575
"91","Ashton","Female",0.281456953642384,0.112071005489782,0.149006622516556,0.064066492689342
"92","Ashton","Male",0.273858921161826,0.116380342399409,0.12448132780083,0.0718126659356577
"93","Aspinwall","Female",0,2.22222222222222,0.555555555555556,2.04614499561687
"94","Aspinwall","Male",0,2,0.4,1.8356470248934
"95","Atalissa","Female",0.239766081871345,0.23862107166967,0.105263157894737,0.0747973100485853
"96","Atalissa","Male",0.219101123595506,0.201534092079763,0.0730337078651685,0.079093573983224
"97","Athelstan CDP, Iowa","Female",NA,NA,NA,NA
"98","Athelstan CDP, Iowa","Male",0,4,0,4.8
"99","Atkins","Female",0.252302025782689,0.0573499731444961,0.120626151012891,0.0375633849578461
"100","Atkins","Male",0.2995670995671,0.0686108216642094,0.102164502164502,0.0314142373032383
"101","Atlantic","Female",0.211861990305104,0.0319565812617837,0.259481037924152,0.0440080217796519
"102","Atlantic","Male",0.190693430656934,0.0425534389030576,0.194038929440389,0.0368899219948556
"103","Auburn","Female",0.207317073170732,0.135105558963235,0.182926829268293,0.237320180510763
"104","Auburn","Male",0.193181818181818,0.171355746333441,0.272727272727273,0.202819014290784
"105","Audubon","Female",0.137,0.046782001496302,0.337,0.100882032414102
"106","Audubon","Male",0.292018779342723,0.0679905627497502,0.215962441314554,0.0608972145868803
"107","Augusta CDP, Iowa","Female",0,0.869565217391304,0,1.04347826086957
"108","Augusta CDP, Iowa","Male",0,0.689655172413793,0,0.827586206896552
"109","Aurelia","Female",0.200431034482759,0.087970023538934,0.3125,0.112961992848774
"110","Aurelia","Male",0.135555555555556,0.0699149395010258,0.28,0.108844435370446
"111","Aurora","Female",0.406593406593407,0.317480372333057,0.142857142857143,0.158002984490878
"112","Aurora","Male",0.344444444444444,0.19814426364409,0.211111111111111,0.138751591946335
"113","Avoca","Female",0.175412293853073,0.0553074877976984,0.299850074962519,0.0873619941680528
"114","Avoca","Male",0.248322147651007,0.0820616661611156,0.243288590604027,0.0956046738707906
"115","Ayrshire","Female",0.271428571428571,0.243971376367114,0.157142857142857,0.233846206540117
"116","Ayrshire","Male",0.196969696969697,0.225867785581442,0.0454545454545455,0.3035588928474
"117","Badger","Female",0.233962264150943,0.118593956036832,0.166037735849057,0.0812489284961526
"118","Badger","Male",0.222672064777328,0.108604434521709,0.0931174089068826,0.0688652845793713
"119","Bagley","Female",0.181818181818182,0.10965130363531,0.378787878787879,0.169358990229681
"120","Bagley","Male",0.190839694656489,0.114349641536366,0.221374045801527,0.166289407390425
"121","Baldwin","Female",0.236363636363636,0.340072913912384,0.145454545454545,0.356307973389351
"122","Baldwin","Male",0.196428571428571,0.337140444561107,0.178571428571429,0.317343888404856
"123","Balltown","Female",0.470588235294118,0.656099526932484,0.176470588235294,0.54899658777207
"124","Balltown","Male",0.0666666666666667,1.20082276320945,0.2,1.33998341614945
"125","Bancroft","Female",0.251396648044693,0.0995715575205499,0.268156424581006,0.110938121887212
"126","Bancroft","Male",0.212698412698413,0.0819178566905336,0.231746031746032,0.0779855550107427
"127","Bankston","Female",0,20,1,22.0907220343745
"128","Bankston","Male",0,20,0,24
"129","Barnes City","Female",0.145161290322581,0.362185670530413,0.274193548387097,0.321064987699909
"130","Barnes City","Male",0.271604938271605,0.257944846856295,0.259259259259259,0.222506173947809
"131","Barnum","Female",0.241758241758242,0.231916961820865,0.0659340659340659,0.199709214620122
"132","Barnum","Male",0.48989898989899,0.470894983426585,0.0606060606060606,0.0943755463100233
"133","Bartlett CDP, Iowa","Female",0,4,0,4.8
"134","Bartlett CDP, Iowa","Male",0,4,0,4.8
