"","Year","GEOID","NAME","Median Age Estimate","moe"
"278","2009","1944130","Ledyard",55.2,8.7
"279","2009","1944220","Le Grand",43.3,6.5
"280","2009","1944265","Lehigh",49.7,4.2
"281","2009","1944310","Leighton",32.5,8.6
"282","2009","1944355","Leland",28.5,13
"283","2009","1944400","Le Mars",38.4,2.5
"284","2009","1944490","Lenox",40,5.2
"285","2009","1944535","Leon",44.1,3.6
"286","2009","1944580","Le Roy",59.3,3.2
"287","2009","1944670","Lester",25.4,9.3
"288","2009","1944715","Letts",26.2,8.7
"289","2009","1944805","Lewis",46.4,5.5
"290","2009","1900190","Ackley",46.7,3.6
"291","2009","1900235","Ackworth",32.2,13.7
"292","2009","1900370","Adair",43.6,6.7
"293","2009","1900505","Adel",36.4,4.3
"294","2009","1900595","Afton",36.7,10.8
"295","2009","1900640","Agency",49.2,6.1
"296","2009","1900730","Ainsworth",35.8,8.9
"297","2009","1900775","Akron",41.4,7.3
"298","2009","1900865","Albert City",46.5,6.5
"299","2009","1900910","Albia",44.2,2.1
"300","2009","1900955","Albion",37.7,8.7
"301","2009","1901000","Alburnett",30.7,6.3
"302","2009","1901045","Alden",41.4,7.5
"303","2009","1901090","Alexander",44.8,16.1
"304","2009","1901135","Algona",48.3,2.3
"305","2009","1901180","Alleman",39.5,4.8
"306","2009","1901270","Allerton",37.5,14.2
"307","2009","1901315","Allison",50.9,9.5
"308","2009","1901495","Alta",37.2,3.1
"309","2009","1901540","Alta Vista",36.4,10.2
"310","2009","1901585","Alton",44.5,6.7
"311","2009","1901630","Altoona",33.6,2.3
"312","2009","1901675","Alvord",44.3,12.8
"313","2009","1901855","Ames",23,0.2
"314","2009","1901990","Anamosa",41.7,2.5
"315","2009","1902080","Andover",32.5,8.7
"316","2009","1902125","Andrew",37,10.9
"317","2009","1902260","Anita",47.6,6.1
"318","2009","1902305","Ankeny",31.6,0.8
"319","2009","1902350","Anthon",42.4,5.3
"320","2009","1902395","Aplington",46,7.5
"321","2009","1902485","Arcadia",39.1,4.6
"322","2009","1902530","Archer",55.5,26.2
"323","2009","1902620","Aredale",50.8,22.8
"324","2009","1902755","Arion",42.1,28
"325","2009","1902800","Arispe",47.5,25.3
"326","2009","1902845","Arlington",46.1,10.1
"327","2009","1902935","Armstrong",47.4,9.5
"328","2009","1903025","Arnolds Park",61.4,3.7
"329","2009","1903115","Arthur",46.2,9.7
"330","2009","1903160","Asbury",36.3,1.5
"331","2009","1903295","Ashton",46.2,4
"332","2009","1903340","Aspinwall",58.8,3.2
"333","2009","1903385","Atalissa",33.3,3.8
"334","2009","1903475","Atkins",33.7,3.4
"335","2009","1903520","Atlantic",45.4,1.2
"336","2009","1903610","Auburn",41.5,10.5
"337","2009","1903655","Audubon",46.4,3.6
"338","2009","1903745","Aurelia",51.2,6.4
"339","2009","1903835","Aurora",39,8.6
"340","2009","1903970","Avoca",41.2,5.2
"341","2009","1904105","Ayrshire",40.6,10.4
"342","2009","1904195","Badger",37.6,4.1
"343","2009","1904240","Bagley",46.3,5.2
"344","2009","1904330","Baldwin",37.9,19.1
"345","2009","1904375","Balltown",36.4,18.3
"346","2009","1904420","Bancroft",46.3,4.1
"347","2009","1904510","Bankston",30.5,16.6
"348","2009","1904555","Barnes City",34.8,17.1
"349","2009","1904645","Barnum",33.6,6.1
"350","2009","1904780","Bassett",53.9,5.1
"351","2009","1904825","Batavia",36.7,9.6
"352","2009","1904870","Battle Creek",43.9,8
"353","2009","1904915","Baxter",46.6,10.8
"354","2009","1904960","Bayard",51.7,11.7
"355","2009","1905050","Beacon",47.2,3.1
"356","2009","1905095","Beaconsfield",49.7,15.3
"357","2009","1905140","Beaman",35.9,7.4
"358","2009","1905185","Beaver",27.8,25.2
"359","2009","1905365","Bedford",41.3,2.4
"360","2009","1905590","Belle Plaine",43.1,2.8
"361","2009","1905635","Bellevue",40.2,5
"362","2009","1905680","Belmond",46.1,5.3
"363","2009","1905770","Bennett",37.2,4.7
"364","2009","1905905","Benton",57.5,15
"365","2009","1906040","Berkley",46.8,26.9
"366","2009","1906085","Bernard",27.8,26.4
"367","2009","1906175","Bertram",48.4,6.5
"368","2009","1906355","Bettendorf",39.8,1.3
"369","2009","1906490","Bevington",32.9,40.7
"370","2009","1906625","Birmingham",35.6,5
"371","2009","1906760","Blairsburg",43.9,6.5
"372","2009","1906805","Blairstown",36.3,5.9
"373","2009","1906850","Blakesburg",38.8,13.5
"374","2009","1906895","Blanchard",47.5,29.1
"375","2009","1906940","Blencoe",47.5,13.6
"376","2009","1906985","Blockton",47.9,17.9
"377","2009","1907030","Bloomfield",44.2,6
"378","2009","1907075","Blue Grass",37.8,3.6
"379","2009","1907210","Bode",24.8,7.4
"380","2009","1907345","Bonaparte",41.6,12.7
"381","2009","1907390","Bondurant",29.3,1.4
"382","2009","1907480","Boone",36.7,1.4
"383","2009","1907660","Bouton",49.5,12.2
"384","2009","1907750","Boxholm",47.1,8.4
"385","2009","1907840","Boyden",37.3,6
"386","2009","1907930","Braddyville",52.3,36.1
"387","2009","1908065","Bradgate",51.5,15.5
"388","2009","1908155","Brandon",30.9,5.1
"389","2009","1908200","Brayton",23.6,14.7
"390","2009","1908290","Breda",41.8,11.9
"391","2009","1908425","Bridgewater",62.5,11.1
"392","2009","1908470","Brighton",34,9.9
"393","2009","1908560","Bristow",36.6,13.7
"394","2009","1908605","Britt",38.7,4.1
"395","2009","1908650","Bronson",41.3,16.6
"396","2009","1908695","Brooklyn",37.3,4.3
"397","2009","1908875","Brunsville",26.3,16.3
"398","2009","1909100","Buckeye",42.5,21.9
"399","2009","1909145","Buck Grove",59.8,24.2
"400","2009","1909235","Buffalo",42.7,4.9
"401","2009","1909280","Buffalo Center",44.5,9.7
"402","2009","1909550","Burlington",38.6,1.4
"403","2009","1909685","Burt",36.1,14.1
"404","2009","1909730","Bussey",46.4,3.2
"405","2009","1909820","Calamus",38.2,6.4
"406","2009","1909955","Callender",40.8,14.2
"407","2009","1910045","Calmar",29.1,5.3
"408","2009","1910090","Calumet",27.4,12
"409","2009","1910135","Camanche",42.1,3.4
"410","2009","1910225","Cambridge",32.8,4.7
"411","2009","1910450","Cantril",48.3,7.4
"412","2009","1910585","Carbon",56.7,2.5
"413","2009","1910765","Carlisle",35.5,4.7
"414","2009","1911035","Carpenter",49.8,17.4
"415","2009","1911080","Carroll",43.1,2.1
"416","2009","1911170","Carson",36.4,9.6
"417","2009","1911215","Carter Lake",34.8,3.3
"418","2009","1911305","Cascade",33.3,5.1
"419","2009","1911395","Casey",38.5,8.5
"420","2009","1911485","Castalia",47.5,4.2
"421","2009","1911530","Castana",38.6,15.3
"422","2009","1911755","Cedar Falls",24.5,0.6
"423","2009","1912000","Cedar Rapids",34.9,0.5
"424","2009","1912225","Center Junction",47.2,18.5
"425","2009","1912270","Center Point",34.2,2.1
"426","2009","1912315","Centerville",39.2,4.9
"427","2009","1912495","Central City",34.9,6.9
"428","2009","1912630","Centralia",31.3,12.3
"429","2009","1912720","Chariton",42.3,2.2
"430","2009","1912765","Charles City",43.8,1.1
"431","2009","1912855","Charlotte",31.5,9.2
"432","2009","1912900","Charter Oak",42.5,7.3
"433","2009","1912945","Chatsworth",31.9,10
"434","2009","1912990","Chelsea",32.8,7.1
"435","2009","1913080","Cherokee",43.2,2.7
"436","2009","1913125","Chester",41.2,11.4
"437","2009","1913215","Chillicothe",38.8,16.8
"438","2009","1913350","Churdan",49.7,8.1
"439","2009","1913395","Cincinnati",38.8,6.8
"440","2009","1913485","Clare",48.5,12.2
"441","2009","1913530","Clarence",39.7,4.7
"442","2009","1913575","Clarinda",38.4,3.3
"443","2009","1913620","Clarion",40.9,6.1
"444","2009","1913755","Clarksville",39.7,6.2
"445","2009","1913845","Clayton",66,6.3
"446","2009","1913980","Clearfield",47.1,6.3
"447","2009","1914025","Clear Lake",42.6,3.1
"448","2009","1914115","Cleghorn",52.5,4.2
"449","2009","1914160","Clemons",47.4,10.5
"450","2009","1914250","Clermont",52.5,6.2
"451","2009","1914430","Clinton",40.1,1.3
"452","2009","1914475","Clio",50.4,5.8
"453","2009","1914520","Clive",36.1,1.2
"454","2009","1914655","Clutier",45.4,9.3
"455","2009","1914835","Coalville CDP",49.2,11.1
"456","2009","1914880","Coburg",52.2,17.6
"457","2009","1914925","Coggon",30.6,2.3
"458","2009","1914970","Coin",53.1,16.8
"459","2009","1915015","Colesburg",49.5,7.3
"460","2009","1915060","Colfax",33,3.4
"461","2009","1915105","College Springs",29.5,18.8
"462","2009","1915195","Collins",38.7,10.8
"463","2009","1915240","Colo",39.2,6.5
"464","2009","1915375","Columbus City",32.8,10.1
"465","2009","1915420","Columbus Junction",34.4,4.7
"466","2009","1915465","Colwell",45.9,3.8
"467","2009","1915645","Conesville",29.8,9.9
"468","2009","1915825","Conrad",47.7,5.1
"469","2009","1915960","Conway",41.2,22.2
"470","2009","1916050","Coon Rapids",44.6,4.8
"471","2009","1916140","Coppock",46.6,19.1
"472","2009","1916230","Coralville",29.7,1.4
"473","2009","1916500","Corning",44.9,3.4
"474","2009","1916545","Correctionville",38.6,10.7
"475","2009","1916590","Corwith",46.8,5
"476","2009","1916635","Corydon",44.5,4.9
"477","2009","1916725","Cotter",31.8,24.7
"478","2009","1916815","Coulter",20.7,10.1
"479","2009","1916860","Council Bluffs",35.6,0.4
"480","2009","1916950","Craig",34.2,19
"481","2009","1917130","Crawfordsville",42.9,9.5
"482","2009","1917175","Crescent",41.4,6.5
"483","2009","1917220","Cresco",38,2.6
"484","2009","1917265","Creston",38.5,2.8
"485","2009","1917490","Cromwell",48.5,11.2
"486","2009","1917670","Crystal Lake",56.5,12.6
"487","2009","1917760","Cumberland",37.7,8.4
"488","2009","1917850","Cumming",44.4,6.8
"489","2009","1917895","Curlew",43.1,10.4
"490","2009","1917940","Cushing",43.6,10.5
"491","2009","1917985","Cylinder",41.2,21
"492","2009","1918075","Dakota City",40.7,3.9
"493","2009","1918255","Dallas Center",42.1,3.3
"494","2009","1918345","Dana",40.1,20.7
"495","2009","1918390","Danbury",46.1,12
"496","2009","1918435","Danville",37.8,5.3
"497","2009","1919000","Davenport",35.1,0.4
"498","2009","1919090","Davis City",62.4,12.5
"499","2009","1919135","Dawson",35,4.1
"500","2009","1919180","Dayton",39.9,5.4
"501","2009","1919360","Decatur City",30.3,12.6
"502","2009","1919405","Decorah",25.9,4.4
"503","2009","1919450","Dedham",33.7,6.7
"504","2009","1919495","Deep River",43.5,8.4
"505","2009","1919585","Defiance",47.9,5.8
"506","2009","1919630","Delaware",30.8,26
"507","2009","1919675","Delhi",38.9,5.9
"508","2009","1919720","Delmar",39.8,3.8
"509","2009","1919765","Deloit",39.5,5.9
"510","2009","1919810","Delphos",49.5,9.9
"511","2009","1919855","Delta",28.1,7.9
"512","2009","1919945","Denison",33.3,2.7
"513","2009","1920035","Denver",37.1,3.4
"514","2009","1920125","Derby",39.7,10.5
"515","2009","1921000","Des Moines",34.1,0.4
"516","2009","1921045","De Soto",34.4,3.5
"517","2009","1921180","De Witt",40.8,2.8
"518","2009","1921225","Dexter",37,3
"519","2009","1921270","Diagonal",35.3,14.1
"520","2009","1921360","Dickens",50.3,9.3
"521","2009","1921405","Dike",40.8,2.7
"522","2009","1921540","Dixon",37.2,7.7
"523","2009","1921675","Dolliver",36.7,22.3
"524","2009","1921720","Donahue",41.3,7.7
"525","2009","1921810","Donnellson",35.2,10.9
"526","2009","1921900","Doon",31.4,23
"527","2009","1922035","Douds CDP",56.9,3.7
"528","2009","1922080","Dougherty",50.5,11.9
"529","2009","1922215","Dow City",36.5,5.4
"530","2009","1922305","Dows",43.7,5.9
"531","2009","1922350","Drakesville",37.5,22.8
"532","2009","1922395","Dubuque",37.6,0.7
"533","2009","1922620","Dumont",52.1,11.6
